# Mouse TFs were from TcoF-DBv2 (PMID: 27789689). We performed symbol update and Ensembl gene id mapping in December, 2020. -- MG
Symbol	EntrezID	Name	Species	Symbol_20201219	EnsemblID
9130023H24Rik	100043133	RIKEN cDNA 9130023H24 gene	mouse	9130023H24Rik	ENSMUSG00000062944
Adnp	11538	activity-dependent neuroprotective protein	mouse	Adnp	ENSMUSG00000051149
Adnp2	240442	ADNP homeobox 2	mouse	Adnp2	ENSMUSG00000053950
Aebp1	11568	AE binding protein 1	mouse	Aebp1	ENSMUSG00000020473
Aebp2	11569	AE binding protein 2	mouse	Aebp2	ENSMUSG00000030232
Aff1	17355	"AF4/FMR2 family, member 1"	mouse	Aff1	ENSMUSG00000029313
Aff2	14266	"AF4/FMR2 family, member 2"	mouse	Aff2	ENSMUSG00000031189
Aff3	16764	"AF4/FMR2 family, member 3"	mouse	Aff3	ENSMUSG00000037138
Aff4	93736	"AF4/FMR2 family, member 4"	mouse	Aff4	ENSMUSG00000049470
Ahctf1	226747	AT hook containing transcription factor 1	mouse	Ahctf1	ENSMUSG00000026491
Ahr	11622	aryl-hydrocarbon receptor	mouse	Ahr	ENSMUSG00000019256
Ahrr	11624	aryl-hydrocarbon receptor repressor	mouse	Ahrr	ENSMUSG00000021575
Aire	11634	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	mouse	Aire	ENSMUSG00000000731
Akna	100182	AT-hook transcription factor	mouse	Akna	ENSMUSG00000039158
Alx1	216285	ALX homeobox 1	mouse	Alx1	ENSMUSG00000036602
Alx3	11694	aristaless-like homeobox 3	mouse	Alx3	ENSMUSG00000014603
Alx4	11695	aristaless-like homeobox 4	mouse	Alx4	ENSMUSG00000040310
Ankzf1	52231	ankyrin repeat and zinc finger domain containing 1	mouse	Ankzf1	ENSMUSG00000026199
Ap5z1	231855	"adaptor-related protein complex 5, zeta 1 subunit"	mouse	Ap5z1	ENSMUSG00000039623
Ar	11835	androgen receptor	mouse	Ar	ENSMUSG00000046532
Arhgap35	232906	Rho GTPase activating protein 35	mouse	Arhgap35	ENSMUSG00000058230
Arid1a	93760	AT rich interactive domain 1A (SWI-like)	mouse	Arid1a	ENSMUSG00000007880
Arid1b	239985	AT rich interactive domain 1B (SWI-like)	mouse	Arid1b	ENSMUSG00000069729
Arid2	77044	"AT rich interactive domain 2 (ARID, RFX-like)"	mouse	Arid2	ENSMUSG00000033237
Arid3a	13496	AT rich interactive domain 3A (BRIGHT-like)	mouse	Arid3a	ENSMUSG00000019564
Arid3b	56380	AT rich interactive domain 3B (BRIGHT-like)	mouse	Arid3b	ENSMUSG00000004661
Arid3c	550619	AT rich interactive domain 3C (BRIGHT-like)	mouse	Arid3c	ENSMUSG00000066224
Arid4a	238247	AT rich interactive domain 4A (RBP1-like)	mouse	Arid4a	ENSMUSG00000048118
Arid4b	94246	AT rich interactive domain 4B (RBP1-like)	mouse	Arid4b	ENSMUSG00000039219
Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	mouse	Arid5a	ENSMUSG00000037447
Arid5b	71371	AT rich interactive domain 5B (MRF1-like)	mouse	Arid5b	ENSMUSG00000019947
Arnt	11863	aryl hydrocarbon receptor nuclear translocator	mouse	Arnt	ENSMUSG00000015522
Arnt2	11864	aryl hydrocarbon receptor nuclear translocator 2	mouse	Arnt2	ENSMUSG00000015709
Arntl	11865	aryl hydrocarbon receptor nuclear translocator-like	mouse	Arntl	ENSMUSG00000055116
Arntl2	272322	aryl hydrocarbon receptor nuclear translocator-like 2	mouse	Arntl2	ENSMUSG00000040187
Arx	11878	aristaless related homeobox	mouse	Arx	ENSMUSG00000035277
Ascl1	17172	achaete-scute family bHLH transcription factor 1	mouse	Ascl1	ENSMUSG00000020052
Ascl2	17173	achaete-scute family bHLH transcription factor 2	mouse	Ascl2	ENSMUSG00000009248
Ascl3	56787	achaete-scute family bHLH transcription factor 3	mouse	Ascl3	ENSMUSG00000035951
Ascl4	67341	achaete-scute family bHLH transcription factor 4	mouse	Ascl4	ENSMUSG00000085111
Ash1l	192195	"ash1 (absent, small, or homeotic)-like (Drosophila)"	mouse	Ash1l	ENSMUSG00000028053
Ash2l	23808	"ash2 (absent, small, or homeotic)-like (Drosophila)"	mouse	Ash2l	ENSMUSG00000031575
Atf1	11908	activating transcription factor 1	mouse	Atf1	ENSMUSG00000023027
Atf2	11909	activating transcription factor 2	mouse	Atf2	ENSMUSG00000027104
Atf3	11910	activating transcription factor 3	mouse	Atf3	ENSMUSG00000026628
Atf4	11911	activating transcription factor 4	mouse	Atf4	ENSMUSG00000042406
Atf5	107503	activating transcription factor 5	mouse	Atf5	ENSMUSG00000038539
Atf6	226641	activating transcription factor 6	mouse	Atf6	ENSMUSG00000026663
Atf6b	12915	activating transcription factor 6 beta	mouse	Atf6b	ENSMUSG00000015461
Atf7	223922	activating transcription factor 7	mouse	Atf7	ENSMUSG00000099083
Atoh1	11921	atonal bHLH transcription factor 1	mouse	Atoh1	ENSMUSG00000073043
Atoh7	53404	atonal bHLH transcription factor 7	mouse	Atoh7	ENSMUSG00000036816
Atoh8	71093	atonal bHLH transcription factor 8	mouse	Atoh8	ENSMUSG00000037621
Atrx	22589	alpha thalassemia/mental retardation syndrome X-linked	mouse	Atrx	ENSMUSG00000031229
Atxn7	246103	ataxin 7	mouse	Atxn7	ENSMUSG00000021738
Bach1	12013	"BTB and CNC homology 1, basic leucine zipper transcription factor 1"	mouse	Bach1	ENSMUSG00000025612
Bach2	12014	"BTB and CNC homology, basic leucine zipper transcription factor 2"	mouse	Bach2	ENSMUSG00000040270
Barhl1	54422	BarH-like 1 (Drosophila)	mouse	Barhl1	ENSMUSG00000026805
Barhl2	104382	BarH-like 2 (Drosophila)	mouse	Barhl2	ENSMUSG00000034384
Barx1	12022	BarH-like homeobox 1	mouse	Barx1	ENSMUSG00000021381
Barx2	12023	BarH-like homeobox 2	mouse	Barx2	ENSMUSG00000032033
Batf	53314	"basic leucine zipper transcription factor, ATF-like"	mouse	Batf	ENSMUSG00000034266
Batf2	74481	"basic leucine zipper transcription factor, ATF-like 2"	mouse	Batf2	ENSMUSG00000039699
Batf3	381319	"basic leucine zipper transcription factor, ATF-like 3"	mouse	Batf3	ENSMUSG00000026630
Bbx	70508	bobby sox homolog (Drosophila)	mouse	Bbx	ENSMUSG00000022641
Bcl11a	14025	B cell CLL/lymphoma 11A (zinc finger protein)	mouse	Bcl11a	ENSMUSG00000000861
Bcl11b	58208	B cell leukemia/lymphoma 11B	mouse	Bcl11b	ENSMUSG00000048251
Bcl3	12051	B cell leukemia/lymphoma 3	mouse	Bcl3	ENSMUSG00000053175
Bcl6	12053	B cell leukemia/lymphoma 6	mouse	Bcl6	ENSMUSG00000022508
Bcl6b	12029	"B cell CLL/lymphoma 6, member B"	mouse	Bcl6b	ENSMUSG00000000317
Bclaf1	72567	BCL2-associated transcription factor 1	mouse	Bclaf1	ENSMUSG00000037608
Bhlha15	17341	"basic helix-loop-helix family, member a15"	mouse	Bhlha15	ENSMUSG00000052271
Bhlha9	320522	"basic helix-loop-helix family, member a9"	mouse	Bhlha9	ENSMUSG00000044243
Bhlhb9	70237	"basic helix-loop-helix domain containing, class B9"	mouse	Bhlhb9	ENSMUSG00000072964
Bhlhe22	59058	"basic helix-loop-helix family, member e22"	mouse	Bhlhe22	ENSMUSG00000025128
Bhlhe23	140489	"basic helix-loop-helix family, member e23"	mouse	Bhlhe23	ENSMUSG00000045493
Bhlhe40	20893	"basic helix-loop-helix family, member e40"	mouse	Bhlhe40	ENSMUSG00000030103
Bhlhe41	79362	"basic helix-loop-helix family, member e41"	mouse	Bhlhe41	ENSMUSG00000030256
Bmp2	12156	bone morphogenetic protein 2	mouse	Bmp2	ENSMUSG00000027358
Bmyc	107771	brain expressed myelocytomatosis oncogene	mouse	Bmyc	ENSMUSG00000049086
Bnc1	12173	basonuclin 1	mouse	Bnc1	ENSMUSG00000025105
Bnc2	242509	basonuclin 2	mouse	Bnc2	ENSMUSG00000028487
Bola1	69168	bolA-like 1 (E. coli)	mouse	Bola1	ENSMUSG00000015943
Bola2	66162	bolA-like 2 (E. coli)	mouse	Bola2	ENSMUSG00000047721
Bola3	78653	bolA-like 3 (E. coli)	mouse	Bola3	ENSMUSG00000045160
Bptf	207165	bromodomain PHD finger transcription factor	mouse	Bptf	ENSMUSG00000040481
Brca1	12189	"breast cancer 1, early onset"	mouse	Brca1	ENSMUSG00000017146
Bsx	244813	brain specific homeobox	mouse	Bsx	ENSMUSG00000054360
Camta1	100072	calmodulin binding transcription activator 1	mouse	Camta1	ENSMUSG00000014592
Camta2	216874	calmodulin binding transcription activator 2	mouse	Camta2	ENSMUSG00000040712
Carhsp1	52502	calcium regulated heat stable protein 1	mouse	Carhsp1	ENSMUSG00000008393
Casz1	69743	castor zinc finger 1	mouse	Casz1	ENSMUSG00000028977
Cbfb	12400	core binding factor beta	mouse	Cbfb	ENSMUSG00000031885
Ccdc79	320022	coiled-coil domain containing 79	mouse	Terb1	ENSMUSG00000052616
Cdc5l	71702	cell division cycle 5-like (S. pombe)	mouse	Cdc5l	ENSMUSG00000023932
Cdx1	12590	caudal type homeobox 1	mouse	Cdx1	ENSMUSG00000024619
Cdx2	12591	caudal type homeobox 2	mouse	Cdx2	ENSMUSG00000029646
Cdx4	12592	caudal type homeobox 4	mouse	Cdx4	ENSMUSG00000031326
Cebpa	12606	"CCAAT/enhancer binding protein (C/EBP), alpha"	mouse	Cebpa	ENSMUSG00000034957
Cebpb	12608	"CCAAT/enhancer binding protein (C/EBP), beta"	mouse	Cebpb	ENSMUSG00000056501
